Number,Category,Experts,Verb,VerbShort,VerbShortC,VerbYouShort,VerbIShort,VerbC,VerbYou,VerbI,Positive Impact,Source of Positive Impact,Negative Impact,Prerequisite,Exclusion,Formulation Chat,Formulation Email,Behavior Goal
11,Smoking,Smoking cessation,learning about how your body starts repairing itself as soon as you stop smoking,learning how your body starts repairing itself as soon as you stop smoking,Learning how your body starts repairing itself as soon as you stop smoking,learn how your body starts repairing itself as soon as you stop smoking,learn how my body starts repairing itself as soon as I stop smoking,Learning about how your body starts repairing itself as soon as you stop smoking,learn about how your body starts repairing itself as soon as you stop smoking,learn about how my body starts repairing itself as soon as I stop smoking,heighten your DESIRE to refrain from smoking,Paper by Michie on StopAdvisor,may lead to a LACK of desire to refrain from smoking,,"8,","Having a strong desire to refrain from smoking may aid quitting successfully. Thus, *after* this session, please watch the 12-minute video that I will send you as a message in Prolific. The video explains how the body starts repairing itself immediately, as soon as a person stops smoking. What information from the video is most relevant to you? Take a few notes.","Having a strong desire to refrain from smoking may aid quitting successfully. Thus, before the next session, please watch the following 12-minute video on how the body starts repairing itself immediately, as soon as a person stops smoking: https://www.youtube.com/watch?v=ZhTOC0T3P3c&ab_channel=RespiratoryTherapyZone. What information from the video is most relevant to you? Take a few notes.",quit smoking
12,Smoking,Smoking cessation,recording your current smoking behavior,recording your current smoking behavior,Recording your current smoking behavior,record your current smoking behavior,record my current smoking behavior,Recording your current smoking behavior,record your current smoking behavior,record my current smoking behavior,prepare for and thus RESIST cravings to smoke,"None, but helps for the activities that ask to come up with routines etc.",may make it HARD to prepare for and thus resist cravings to smoke,,,"Preparing for situations in which you commonly smoke may make it easier to successfully quit smoking. Therefore, please record the situations in which you smoke *after* this session. Take note of one or two keywords to describe the situation and the number of cigarettes that you smoked. For example, you might note ""Lunch break, 2 cigarettes"" or ""TV, 5 cigarettes."" It might be helpful to take these notes on your phone, or you could carry a small piece of paper and pen in your pocket.","Preparing for situations in which you commonly smoke may make it easier to successfully quit smoking. Therefore, please record the situations in which you smoke before the next session. Take note of one or two keywords to describe the situation and the number of cigarettes that you smoked. For example, you might note ""Lunch break, 2 cigarettes"" or ""TV, 5 cigarettes."" It might be helpful to take these notes on your phone, or you could carry a small piece of paper and pen in your pocket.",quit smoking
13,PA,Physical activity,recording your current physical activity routines,recording your current physical activity routines,Recording your current physical activity routines,record your current physical activity routines,record my current physical activity routines,Recording your current physical activity routines,record your current physical activity routines,record my current physical activity routines,set a PRECISE GOAL and thus to feel more MOTIVATED to become more physically active,,may make it DIFFICULT to set a precise goal and thus lead to INSUFFICIENT motivation to become more physically active,,,"Becoming more physically active (e.g. exercise, take walks, sit less) may make it easier to successfully quit smoking. One important step for becoming more physically active is to know one's current level. This allows to later set a precise goal and hence to feel more motivated. So, please record your current behavior with regards to physical activity *after* this session. Try to keep track of how much time you spend 1) sitting, 2) working out and 3) being moderately active (e.g. taking a walk, biking to the grocery store). For this, it might be helpful to keep a piece of paper and pen on your kitchen table, or maybe you have a smart watch that can record these types of behavior for you.","Becoming more physically active (e.g. exercise, take walks, sit less) may make it easier to successfully quit smoking. One important step for becoming more physically active is to know one's current level. This allows to later set a precise goal and hence to feel more motivated. So, please record your current behavior with regards to physical activity before the next session. Try to keep track of how much time you spend 1) sitting, 2) working out and 3) being moderately active (e.g. taking a walk, biking to the grocery store). For this, it might be helpful to keep a piece of paper and pen on your kitchen table, or maybe you have a smart watch that can record these types of behavior for you.",become more physically active
14,PA,Physical activity,thinking about solutions to possible barriers,thinking about solutions to barriers,Thinking about solutions to barriers,think about solutions to barriers,think about solutions to barriers,Thinking about solutions to possible barriers,think about solutions to possible barriers,think about solutions to possible barriers,REMOVE obstacles to becoming more physically active,,may cause those barriers to PREVENT you from becoming more physically active,,,"Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One important step for becoming more physically active is to remove possible obstacles. Thus, *after* this session, please think about things that make it difficult for you to be physically active. For example, this could be that you do NOT have a raincoat to bike to the grocery store when it is raining, that you do NOT want to work out alone, or that you are at work all day and too exhausted by the time that you come home. What are possible solutions to your barriers? For instance, you could buy a raincoat, join a running group, or take a walk during your lunch break at work. Please write down everything that comes to your mind.","Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One important step for becoming more physically active is to remove possible obstacles. Thus, before the next session, please think about things that make it difficult for you to be physically active. For example, this could be that you do NOT have a raincoat to bike to the grocery store when it is raining, that you do NOT want to work out alone, or that you are at work all day and too exhausted by the time that you come home. What are possible solutions to your barriers? For instance, you could buy a raincoat, join a running group, or take a walk during your lunch break at work. Please write down everything that comes to your mind.",become more physically active
15,PA,Physical activity,identifying reasons why you want to become more physically active,identifying reasons why you want to become more physically active,Identifying reasons why you want to become more physically active,identify reasons why you want to become more physically active,identify reasons why I want to become more physically active,Identifying reasons why you want to become more physically active,identify reasons why you want to become more physically active,identify reasons why I want to become more physically active,increase your DESIRE to become more physically active,Paper by Michie on StopAdvisor,may lead to a LACK of desire to become more physically active,,,"Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have a strong desire to become more physically active. Therefore, *after* this session, please identify and write down reasons why you want to become more physically active. After writing them down, think about which reasons are most important to you and order them accordingly.","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have a strong desire to become more physically active. Therefore, before the next session, please identify and write down reasons why you want to become more physically active. After writing them down, think about which reasons are most important to you and order them accordingly.",become more physically active
16,PA,Physical activity,comparing your current physical activity behavior to what is recommended,comparing your physical activity behavior to what is recommended,Comparing your physical activity behavior to what is recommended,compare your physical activity behavior to what is recommended,compare my physical activity behavior to what is recommended,Comparing your current physical activity behavior to what is recommended,compare your current physical activity behavior to what is recommended,compare my current physical activity behavior to what is recommended,set a SPECIFIC GOAL and thus to feel more ASPIRATION to become more physically active,,may make it HARD to set a specific goal and thus lead to INSUFFICIENT aspiration to become more physically active,"12,","22,","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One important step for becoming more physically active is to set a specific goal and thus to feel more aspiration. Therefore, *after* this session, please watch the 2-minute video that I will send you as a message in Prolific. The video explains how much and which type of physical activity is recommended. Then, compare your physical activity behavior to the recommended amounts for the different types of physical activity. Write down which recommended amounts you meet or exceed, and which ones you do NOT meet.","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One important step for becoming more physically active is to set a specific goal and thus to feel more aspiration. Therefore, before the next session, please watch the following 2-minute video on how much and which type of physical activity is recommended: https://www.youtube.com/watch?v=AAPhWbG_zLs&ab_channel=TREKGroup. Then, compare your physical activity behavior to the recommended amounts for the different types of physical activity. Write down which recommended amounts you meet or exceed, and which ones you do NOT meet.",become more physically active
17,PA,Physical activity,thinking about the person you would like to be once you have become more physically active,thinking about your desired future self,Thinking about your desired future self,think about your desired future self,think about my desired future self,Thinking about the person you would like to be once you have become more physically active,think about the person you would like to be once you have become more physically active,think about the person I would like to be once I have become more physically active,increase your AMBITION to become a more physically active person,,may lead to a LACK of ambition to become a more physically active person,,"0, 20","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One important step for this is to have high ambition to become more physically active. Thus, *after* this session, please think about the person that you would like to be once you have become more physically active. For example, you might want to be a ""grandfather who can play football with his grandchildren"" or a ""nurse who can walk up the stairs to the fourth floor without getting out of breath."" Write down everything that comes to your mind.","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One important step for this is to have high ambition to become more physically active. Thus, before the next session, please think about the person that you would like to be once you have become more physically active. For example, you might want to be a ""grandfather who can play football with his grandchildren"" or a ""nurse who can walk up the stairs to the fourth floor without getting out of breath."" Write down everything that comes to your mind.",become more physically active
18,PA,Physical activity,thinking about who you do NOT want to be but might become if you fail to become more physically active,thinking about your feared future self,Thinking about your feared future self,think about your feared future self,think about my feared future self,Thinking about who you do NOT want to be but might become if you fail to become more physically active,think about who you do NOT want to be but might become if you fail to become more physically active,think about who I do NOT want to be but might become if I fail to become more physically active,heighten your DETERMINATION to become a more physically active person,,may lead to INSUFFICIENT determination to become a more physically active person,,"18,2,3","It may be easier to successfully quit smoking if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high determination to become more physically active. Therefore, *after* this session, please think about who you do NOT want to be in the future but might become if you fail to become more physically active. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her father did"" or a ""daughter who is frowned upon by her mother"" or a ""man who is dependent on his wife in his everyday life."" Write down everything that comes to your mind. ","It may be easier to successfully quit smoking if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high determination to become more physically active. Therefore, before the next session, please think about who you do NOT want to be in the future but might become if you fail to become more physically active. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her father did"" or a ""daughter who is frowned upon by her mother"" or a ""man who is dependent on his wife in his everyday life."" Write down everything that comes to your mind. ",become more physically active
19,PA,Physical activity,thinking about who you do NOT want to be but might become if you fail to become more physically active,thinking about your feared future self,Thinking about your feared future self,think about your feared future self,think about my feared future self,Thinking about who you do NOT want to be but might become if you fail to become more physically active,think about who you do NOT want to be but might become if you fail to become more physically active,think about who I do NOT want to be but might become if I fail to become more physically active,heighten your DETERMINATION to become a more physically active person,,may lead to INSUFFICIENT determination to become a more physically active person,,"17,3,2","It may be easier to successfully quit smoking if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high determination to become more physically active. Therefore, *after* this session, please think about who you do NOT want to be in the future but might become if you fail to become more physically active. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her father did"" or a ""daughter who is frowned upon by her mother"" or a ""man who is dependent on his wife in his everyday life."" Then, look for a picture that best captures your feared future self. Save or print this picture so that you can see it every day.","It may be easier to successfully quit smoking if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high determination to become more physically active. Therefore, before the next session, please think about who you do NOT want to be in the future but might become if you fail to become more physically active. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her father did"" or a ""daughter who is frowned upon by her mother"" or a ""man who is dependent on his wife in his everyday life."" Then, look for a picture that best captures your feared future self. Save or print this picture so that you can see it every day.",become more physically active
20,PA,Physical activity,visualizing becoming more physically active as a battle that you win,visualizing becoming more physically active as a battle that you win,Visualizing becoming more physically active as a battle that you win,visualize becoming more physically active as a battle that you win,visualize becoming more physically active as a battle that I win,Visualizing becoming more physically active as a battle that you win,visualize becoming more physically active as a battle that you win,visualize becoming more physically active as a battle that I win,FOCUS on the goal of becoming more physically active,,may cause you to LOOSE SIGHT of the goal of becoming more physically active,,,"Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One important step for this is to focus on the goal of becoming more physically active. Thus, *after* this session, please take some time to visualize becoming more physically active as a battle. For example, you might see yourself and non-active version of yourself as two boxers in a fighting match. Then imagine yourself winning this battle. Visualize clearly how you win and what it feels like to be the winner. Write down a few words about your winning experience.","Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One important step for this is to focus on the goal of becoming more physically active. Thus, before the next session, please take some time to visualize becoming more physically active as a battle. For example, you might see yourself and non-active version of yourself as two boxers in a fighting match. Then imagine yourself winning this battle. Visualize clearly how you win and what it feels like to be the winner. Write down a few words about your winning experience.",become more physically active
21,PA,Physical activity,thinking about the person you would like to be once you have become more physically active,thinking about your desired future self,Thinking about your desired future self,think about your desired future self,think about my desired future self,Thinking about the person you would like to be once you have become more physically active,think about the person you would like to be once you have become more physically active,think about the person I would like to be once I have become more physically active,feel more MOTIVATED to become a more physically active person,,may lead to INSUFFICIENT motivation to become a more physically active person,,"0,16","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high motivation to become more physically active. Thus, *after* this session, please think about the person that you would like to be once you have become more physically active. For example, you might want to be a ""grandfather who can play football with his grandchildren"" or a ""nurse who can walk up the stairs to the fourth floor without getting out of breath."" Then look for a picture that best captures your desired future self. Save or print this picture so that you can see it every day.","Quitting smoking may be easier if you become more physically active (e.g. exercise, take walks, sit less). One crucial step for this is to have high motivation to become more physically active. Thus, before the next session, please think about the person that you would like to be once you have become more physically active. For example, you might want to be a ""grandfather who can play football with his grandchildren"" or a ""nurse who can walk up the stairs to the fourth floor without getting out of breath."" Then look for a picture that best captures your desired future self. Save or print this picture so that you can see it every day.",become more physically active
22,PA,Physical activity,thinking about what you could do to become more physically active,thinking about what you could do to become more physically active,Thinking about what you could do to become more physically active,think about what you could do to become more physically active,think about what I could do to become more physically active,Thinking about what you could do to become more physically active,think about what you could do to become more physically active,think about what I could do to become more physically active,SUCCEED at becoming more physically active,,may make it DIFFICULT to become more physically active,,,"Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One crucial part for this is to create a plan for becoming more physically active. Therefore, *after* this session, please think about what you could do to become more physically active. For example, you could get up from your desk after every 30 minutes of sitting, bike to the grocery store, do 10 squats every morning, or join a running group. Write down everything that comes to your mind. Which plan do you want to focus on? Highlight this plan.","Becoming more physically active (e.g. exercise, take walks, sit less) may help you to successfully quit smoking. One crucial part for this is to create a plan for becoming more physically active. Therefore, before the next session, please think about what you could do to become more physically active. For example, you could get up from your desk after every 30 minutes of sitting, bike to the grocery store, do 10 squats every morning, or join a running group. Write down everything that comes to your mind. Which plan do you want to focus on? Highlight this plan.",become more physically active
23,PA,Physical activity,learning about the possible positive impact of physical activity on dealing with cravings to smoke,learning about the possible positive impact of physical activity on dealing with cravings to smoke,Learning about the possible positive impact of physical activity on dealing with cravings to smoke,learn about the possible positive impact of physical activity on dealing with cravings to smoke,learn about the possible positive impact of physical activity on dealing with cravings to smoke,Learning about the possible positive impact of physical activity on dealing with cravings to smoke,learn about the possible positive impact of physical activity on dealing with cravings to smoke,learn about the possible positive impact of physical activity on dealing with cravings to smoke,heighten your ASPIRATION to become more physically active,,may lead to a LACK of aspiration to become more physically active,,"15,","Becoming more physically active (e.g. exercise, take walks, spend less time sitting) may help you to successfully quit smoking. One crucial step for this is to have high aspiration to become more physically active. So, *after* this session, please watch the 5-minute video that I will send you as a message in Prolific. The video explains the possible positive impact of physical activity on dealing with cravings to smoke. What do you think about the information in the video? Write down your thoughts in a few words.","Becoming more physically active (e.g. exercise, take walks, spend less time sitting) may help you to successfully quit smoking. One crucial step for this is to have high aspiration to become more physically active. So, before the next session, please watch the following 5-minute video about the possible positive impact of physical activity on dealing with cravings to smoke: https://www.youtube.com/watch?v=StM10jzbt1k&ab_channel=TreeHouseRecovery. What do you think about the information in the video? Write down your thoughts in a few words.",become more physically active
24,PA,Physical activity,creating a personal rule,creating a personal rule,Creating a personal rule,create a personal rule,create a personal rule,Creating a personal rule,create a personal rule,create a personal rule,generate strong RESOLVE to become more physically active,,may lead to INSUFFICIENT resolve to become more physically active,,"9,","Being more physically active (e.g. exercise, take walks, spend less time sitting) may aid you to stop smoking. One important aspect for this is to have strong resolve to become more physically active. So, *after* this session, please take some time to think of a personal rule that helps you to become more physically active. Possible examples include ""10 squats - no matter what,"" ""Say no to sitting, yes to life"" or ""Driving to the grocery store is NOT an option."" Write down your rule on a piece of paper and repeat it to yourself 3 times. Put the piece of paper with your rule somewhere you can see it every day.","Being more physically active (e.g. exercise, take walks, spend less time sitting) may aid you to stop smoking. One important aspect for this is to have strong resolve to become more physically active. So, before the next session, please take some time to think of a personal rule that helps you to become more physically active. Possible examples include ""10 squats - no matter what,"" ""Say no to sitting, yes to life"" or ""Driving to the grocery store is NOT an option."" Write down your rule on a piece of paper and repeat it to yourself 3 times. Put the piece of paper with your rule somewhere you can see it every day.",become more physically active
